ID,Origin,core_label,Subcel1,Localization,Type
Zm00001eb358210,WGD,Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb359150,unknown,Core Gene,chlo,Cell membrane,Membrane
Zm00001eb322160,unknown,Core Gene,cyto,Endoplasmic reticulum,Membrane
Zm00001eb295800,unknown,Core Gene,chlo,Nucleus,Soluble
Zm00001eb279880,WGD,Core Gene,chlo,Lysosome/Vacuole,Soluble
Zm00001eb290070,unknown,Core Gene,chlo,Cytoplasm,Soluble
Zm00001eb285650,Tandem,Core Gene,chlo,Cell membrane,Membrane
Zm00001eb257320,WGD,Core Gene,chlo,Extracellular,Soluble
Zm00001eb231420,unknown,Core Gene,chlo,Cell membrane,Membrane
Zm00001eb083360,unknown,Dispensable Gene,chlo,Mitochondrion,Soluble
Zm00001eb009040,unknown,Dispensable Gene,chlo,Mitochondrion,Membrane
Zm00001eb364290,WGD,Core Gene,chlo,Peroxisome,Membrane
Zm00001eb327820,WGD,Core Gene,chlo,Endoplasmic reticulum,Membrane
Zm00001eb269510,unknown,Near-Core Gene,chlo,Golgi apparatus,Membrane
Zm00001eb273090,WGD,Core Gene,chlo,Cytoplasm,Soluble
Zm00001eb208380,WGD,Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb120610,unknown,Core Gene,chlo,Lysosome/Vacuole,Soluble
Zm00001eb405790,Tandem,Near-Core Gene,chlo,Cell membrane,Membrane
Zm00001eb330590,WGD,Core Gene,chlo,Peroxisome,Soluble
Zm00001eb304420,unknown,Core Gene,nucl,Golgi apparatus,Membrane
Zm00001eb250960,WGD,Core Gene,chlo,Cell membrane,Membrane
Zm00001eb148530,unknown,Core Gene,chlo,Peroxisome,Soluble
Zm00001eb081980,Tandem,Core Gene,chlo,Cell membrane,Membrane
Zm00001eb096130,unknown,Core Gene,chlo,Cell membrane,Membrane
Zm00001eb434410,WGD,Core Gene,nucl,Cytoplasm,Soluble
Zm00001eb057280,unknown,Core Gene,chlo,Mitochondrion,Soluble
Zm00001eb004110,Tandem,Core Gene,chlo,Cytoplasm,Soluble
Zm00001eb400020,unknown,Core Gene,cyto,Peroxisome,Soluble
Zm00001eb369120,WGD,Core Gene,nucl,Plastid,Membrane
Zm00001eb307480,Tandem,Near-Core Gene,extr,Cell membrane,Membrane
Zm00001eb307490,Tandem,Near-Core Gene,extr,Cell membrane,Membrane
Zm00001eb234090,unknown,Core Gene,cyto,Mitochondrion,Soluble
Zm00001eb027400,Tandem,Core Gene,cyto,Mitochondrion,Soluble
Zm00001eb018440,Tandem,Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb016850,unknown,Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb358960,WGD,Core Gene,extr,Cell membrane,Membrane
Zm00001eb382130,unknown,Core Gene,golg,Endoplasmic reticulum,Membrane
Zm00001eb166570,unknown,Core Gene,chlo,Cell membrane,Membrane
Zm00001eb189180,WGD,Core Gene,chlo,Cell membrane,Membrane
Zm00001eb158160,unknown,Core Gene,extr,Lysosome/Vacuole,Soluble
Zm00001eb018690,unknown,Core Gene,extr,Cell membrane,Membrane
Zm00001eb065980,WGD,Dispensable Gene,chlo,Cell membrane,Membrane
Zm00001eb385130,unknown,Core Gene,chlo,Cytoplasm,Soluble
Zm00001eb232900,unknown,Dispensable Gene,chlo,Cell membrane,Membrane
Zm00001eb334250,unknown,Private Gene,chlo,Cell membrane,Membrane
Zm00001eb081780,unknown,Core Gene,cyto,Endoplasmic reticulum,Membrane
Zm00001eb125080,unknown,Core Gene,E.R.,Peroxisome,Soluble
Zm00001eb010410,unknown,Core Gene,chlo,Endoplasmic reticulum,Membrane
Zm00001eb212430,WGD,Core Gene,cyto,Cell membrane,Membrane
Zm00001eb081070,unknown,Core Gene,cyto,Mitochondrion,Membrane
Zm00001eb077070,Tandem,Core Gene,chlo,Cell membrane,Membrane
Zm00001eb330840,WGD,Core Gene,chlo,Golgi apparatus,Membrane
Zm00001eb125980,WGD,Core Gene,cyto,Golgi apparatus,Membrane
Zm00001eb111660,WGD,Core Gene,chlo,Golgi apparatus,Membrane
Zm00001eb042480,unknown,Core Gene,chlo,Golgi apparatus,Membrane
Zm00001eb349350,unknown,Dispensable Gene,mito,Endoplasmic reticulum,Soluble
Zm00001eb066140,unknown,Core Gene,nucl,Cytoplasm,Soluble
Zm00001eb422680,WGD,Core Gene,nucl,Cell membrane,Membrane
Zm00001eb092350,unknown,Dispensable Gene,cyto,Mitochondrion,Soluble
Zm00001eb105680,WGD,Core Gene,chlo,Nucleus,Soluble
Zm00001eb389650,WGD,Core Gene,mito,Golgi apparatus,Membrane
Zm00001eb316780,unknown,Core Gene,mito,Lysosome/Vacuole,Soluble
Zm00001eb125040,unknown,Dispensable Gene,mito,Plastid,Membrane
Zm00001eb144310,unknown,Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb008480,WGD,Core Gene,nucl,Nucleus,Soluble
Zm00001eb362790,Tandem,Core Gene,nucl,Cytoplasm,Soluble
Zm00001eb356420,unknown,Core Gene,chlo,Cytoplasm,Soluble
Zm00001eb312590,WGD,Core Gene,chlo,Endoplasmic reticulum,Membrane
Zm00001eb282940,unknown,Core Gene,chlo,Plastid,Soluble
Zm00001eb263160,unknown,Dispensable Gene,chlo,Peroxisome,Soluble
Zm00001eb273340,unknown,Core Gene,chlo,Cytoplasm,Soluble
Zm00001eb248420,unknown,Dispensable Gene,chlo,Mitochondrion,Soluble
Zm00001eb239840,unknown,Dispensable Gene,chlo,Endoplasmic reticulum,Membrane
Zm00001eb143840,unknown,Near-Core Gene,chlo,Cytoplasm,Soluble
Zm00001eb071640,WGD,Core Gene,chlo,Lysosome/Vacuole,Soluble
Zm00001eb078240,unknown,Dispensable Gene,chlo,Endoplasmic reticulum,Membrane
Zm00001eb378710,unknown,Core Gene,chlo,Mitochondrion,Membrane
Zm00001eb342160,unknown,Core Gene,chlo,Mitochondrion,Membrane
Zm00001eb137040,unknown,Core Gene,chlo,Plastid,Soluble
Zm00001eb153710,WGD,Core Gene,chlo,Endoplasmic reticulum,Membrane
Zm00001eb106770,unknown,Core Gene,chlo,Mitochondrion,Membrane
Zm00001eb045730,unknown,Core Gene,chlo,Mitochondrion,Soluble
Zm00001eb124380,WGD,Near-Core Gene,chlo,Cytoplasm,Soluble
Zm00001eb094710,WGD,Core Gene,chlo,Cell membrane,Membrane
Zm00001eb042030,WGD,Core Gene,chlo,Extracellular,Soluble
Zm00001eb285480,unknown,Core Gene,chlo,Cell membrane,Membrane
Zm00001eb249850,unknown,Core Gene,nucl,Cytoplasm,Soluble
Zm00001eb185250,WGD,Core Gene,chlo,Cytoplasm,Soluble
Zm00001eb190530,unknown,Core Gene,chlo,Cytoplasm,Soluble
Zm00001eb030060,unknown,Dispensable Gene,chlo,Mitochondrion,Membrane
Zm00001eb001970,Tandem,Core Gene,chlo,Mitochondrion,Membrane
Zm00001eb393430,WGD,Core Gene,E.R.,Nucleus,Soluble
Zm00001eb397620,WGD,Core Gene,mito,Golgi apparatus,Soluble
Zm00001eb288370,WGD,Core Gene,extr,Endoplasmic reticulum,Membrane
Zm00001eb238400,WGD,Core Gene,extr,Cell membrane,Membrane
Zm00001eb187780,unknown,Core Gene,nucl,Nucleus,Soluble
Zm00001eb191990,unknown,Core Gene,mito,Mitochondrion,Soluble
Zm00001eb168050,unknown,Core Gene,extr,Extracellular,Soluble
Zm00001eb209390,unknown,Core Gene,extr,Endoplasmic reticulum,Soluble
Zm00001eb157220,unknown,Core Gene,nucl,Endoplasmic reticulum,Membrane
Zm00001eb137600,unknown,Core Gene,nucl,Cytoplasm,Soluble
Zm00001eb107370,unknown,Core Gene,nucl,Golgi apparatus,Membrane
Zm00001eb116970,unknown,Dispensable Gene,nucl,Endoplasmic reticulum,Membrane
Zm00001eb100440,WGD,Core Gene,nucl,Cell membrane,Membrane
Zm00001eb030570,unknown,Core Gene,nucl,Nucleus,Soluble
Zm00001eb039980,WGD,Core Gene,chlo,Nucleus,Soluble
Zm00001eb198220,WGD,Core Gene,nucl,Cytoplasm,Soluble
Zm00001eb224010,unknown,Core Gene,nucl,Cell membrane,Membrane
Zm00001eb283600,unknown,Core Gene,nucl,Mitochondrion,Membrane
Zm00001eb076460,WGD,Core Gene,nucl,Cytoplasm,Soluble
Zm00001eb160210,WGD,Core Gene,chlo,Nucleus,Soluble
Zm00001eb381100,unknown,Core Gene,chlo,Endoplasmic reticulum,Membrane
Zm00001eb349610,Tandem,Core Gene,chlo,Peroxisome,Soluble
Zm00001eb314930,unknown,Core Gene,chlo,Golgi apparatus,Membrane
Zm00001eb116390,unknown,Dispensable Gene,chlo,Nucleus,Soluble
Zm00001eb429510,unknown,Dispensable Gene,chlo,Cytoplasm,Soluble
Zm00001eb031750,Tandem,Core Gene,chlo,Peroxisome,Soluble
Zm00001eb336190,unknown,Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb258260,unknown,Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb032650,unknown,Core Gene,nucl,Nucleus,Soluble
Zm00001eb386880,unknown,Dispensable Gene,cyto,Nucleus,Soluble
Zm00001eb342620,WGD,Core Gene,cyto,Endoplasmic reticulum,Membrane
Zm00001eb329840,unknown,Core Gene,cyto,Nucleus,Soluble
Zm00001eb289690,WGD,Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb191560,unknown,Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb200750,unknown,Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb406540,unknown,Near-Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb145090,unknown,Core Gene,extr,Nucleus,Membrane
Zm00001eb403940,unknown,Core Gene,cyto,Endoplasmic reticulum,Membrane
Zm00001eb106390,WGD,Core Gene,extr,Cell membrane,Membrane
Zm00001eb015430,unknown,Core Gene,extr,Cell membrane,Membrane
Zm00001eb393890,unknown,Dispensable Gene,cyto,Cytoplasm,Soluble
Zm00001eb330380,WGD,Core Gene,E.R.,Cytoplasm,Soluble
Zm00001eb387870,unknown,Core Gene,nucl,Cell membrane,Membrane
Zm00001eb363540,WGD,Core Gene,nucl,Cytoplasm,Soluble
Zm00001eb327960,unknown,Core Gene,nucl,Nucleus,Soluble
Zm00001eb268500,Tandem,Core Gene,nucl,Endoplasmic reticulum,Membrane
Zm00001eb255910,unknown,Dispensable Gene,nucl,Plastid,Membrane
Zm00001eb200620,unknown,Core Gene,mito,Golgi apparatus,Soluble
Zm00001eb045380,unknown,Core Gene,nucl,Cytoplasm,Soluble
Zm00001eb203230,unknown,Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb273080,unknown,Dispensable Gene,mito,Golgi apparatus,Membrane
Zm00001eb078110,WGD,Core Gene,mito,Mitochondrion,Membrane
Zm00001eb237300,unknown,Dispensable Gene,cyto,Mitochondrion,Membrane
Zm00001eb233070,unknown,Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb237380,unknown,Core Gene,cyto,Peroxisome,Soluble
Zm00001eb370160,unknown,Core Gene,chlo,Nucleus,Soluble
Zm00001eb282120,unknown,Near-Core Gene,chlo,Peroxisome,Membrane
Zm00001eb339320,unknown,Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb169790,unknown,Core Gene,mito,Golgi apparatus,Membrane
Zm00001eb107350,unknown,Near-Core Gene,chlo,Extracellular,Soluble
Zm00001eb107720,unknown,Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb342690,Tandem,Core Gene,mito,Endoplasmic reticulum,Membrane
Zm00001eb359170,Tandem,Core Gene,chlo,Mitochondrion,Membrane
Zm00001eb357600,unknown,Core Gene,chlo,Extracellular,Soluble
Zm00001eb175890,unknown,Core Gene,chlo,Extracellular,Soluble
Zm00001eb389610,unknown,Dispensable Gene,chlo,Cytoplasm,Soluble
Zm00001eb353140,unknown,Core Gene,chlo,Nucleus,Soluble
Zm00001eb333790,unknown,Core Gene,chlo,Mitochondrion,Membrane
Zm00001eb117800,Tandem,Core Gene,chlo,Nucleus,Soluble
Zm00001eb036070,unknown,Dispensable Gene,chlo,Mitochondrion,Soluble
Zm00001eb338280,unknown,Dispensable Gene,chlo,Mitochondrion,Membrane
Zm00001eb304330,unknown,Core Gene,extr,Cell membrane,Membrane
Zm00001eb212480,unknown,Core Gene,cyto,Peroxisome,Soluble
Zm00001eb166660,Tandem,Core Gene,extr,Extracellular,Soluble
Zm00001eb166610,unknown,Core Gene,extr,Extracellular,Soluble
Zm00001eb012290,unknown,Dispensable Gene,cyto,Cytoplasm,Soluble
Zm00001eb256890,unknown,Core Gene,plas,Endoplasmic reticulum,Membrane
Zm00001eb248620,unknown,Core Gene,plas,Cell membrane,Membrane
Zm00001eb093270,unknown,Core Gene,chlo,Plastid,Membrane
Zm00001eb085540,unknown,Core Gene,chlo,Mitochondrion,Soluble
Zm00001eb415990,Tandem,Core Gene,chlo,Nucleus,Membrane
Zm00001eb109800,unknown,Core Gene,cyto,Endoplasmic reticulum,Membrane
Zm00001eb083140,unknown,Core Gene,chlo,Extracellular,Soluble
Zm00001eb408650,unknown,Dispensable Gene,chlo,Nucleus,Soluble
Zm00001eb339830,unknown,Dispensable Gene,cyto,Nucleus,Soluble
Zm00001eb345470,unknown,Dispensable Gene,cyto,Cytoplasm,Soluble
Zm00001eb424670,unknown,Core Gene,plas,Cell membrane,Membrane
Zm00001eb040120,WGD,Core Gene,E.R.,Cytoplasm,Soluble
Zm00001eb218940,unknown,Dispensable Gene,chlo,Golgi apparatus,Membrane
Zm00001eb171070,unknown,Dispensable Gene,chlo,Cytoplasm,Soluble
Zm00001eb044900,unknown,Core Gene,chlo,Cell membrane,Membrane
Zm00001eb293100,unknown,Dispensable Gene,chlo,Extracellular,Soluble
Zm00001eb164130,unknown,Core Gene,cyto,Endoplasmic reticulum,Membrane
Zm00001eb353870,unknown,Core Gene,plas,Nucleus,Membrane
Zm00001eb260830,unknown,Core Gene,extr,Lysosome/Vacuole,Soluble
Zm00001eb005340,WGD,Core Gene,plas,Golgi apparatus,Membrane
Zm00001eb248920,unknown,Near-Core Gene,cyto,Endoplasmic reticulum,Membrane
Zm00001eb300860,unknown,Core Gene,plas,Cell membrane,Membrane
Zm00001eb020780,unknown,Core Gene,plas,Nucleus,Soluble
Zm00001eb111020,WGD,Core Gene,cyto,Endoplasmic reticulum,Soluble
Zm00001eb272830,Tandem,Core Gene,cyto,Endoplasmic reticulum,Membrane
Zm00001eb079860,unknown,Core Gene,mito,Lysosome/Vacuole,Membrane
Zm00001eb412730,unknown,Near-Core Gene,chlo,Mitochondrion,Soluble
Zm00001eb125660,Tandem,Core Gene,chlo,Cytoplasm,Soluble
Zm00001eb424330,WGD,Dispensable Gene,chlo,Nucleus,Soluble
Zm00001eb204640,unknown,Core Gene,chlo,Cytoplasm,Soluble
Zm00001eb250590,unknown,Core Gene,plas,Lysosome/Vacuole,Soluble
Zm00001eb252740,WGD,Near-Core Gene,chlo,Cell membrane,Membrane
Zm00001eb200870,unknown,Core Gene,chlo,Endoplasmic reticulum,Soluble
Zm00001eb207870,Both,Core Gene,chlo,Cell membrane,Membrane
Zm00001eb335510,WGD,Core Gene,chlo,Cell membrane,Membrane
Zm00001eb296150,unknown,Core Gene,chlo,Cytoplasm,Soluble
Zm00001eb238420,unknown,Core Gene,chlo,Cell membrane,Membrane
Zm00001eb165170,unknown,Core Gene,chlo,Endoplasmic reticulum,Membrane
Zm00001eb326840,unknown,Core Gene,chlo,Mitochondrion,Soluble
Zm00001eb157250,unknown,Dispensable Gene,chlo,Plastid,Soluble
Zm00001eb080950,unknown,Core Gene,chlo,Nucleus,Soluble
Zm00001eb008060,unknown,Core Gene,chlo,Cytoplasm,Soluble
Zm00001eb299120,Tandem,Near-Core Gene,cyto,Cell membrane,Membrane
Zm00001eb414350,Tandem,Core Gene,cyto,Nucleus,Soluble
Zm00001eb367310,WGD,Near-Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb149920,unknown,Core Gene,cyto,Mitochondrion,Soluble
Zm00001eb123720,unknown,Core Gene,extr,Endoplasmic reticulum,Soluble
Zm00001eb147720,WGD,Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb166590,unknown,Core Gene,extr,Extracellular,Soluble
Zm00001eb140460,unknown,Core Gene,cyto,Peroxisome,Membrane
Zm00001eb180860,unknown,Core Gene,cyto,Nucleus,Soluble
Zm00001eb028200,unknown,Core Gene,cyto,Extracellular,Soluble
Zm00001eb314260,unknown,Core Gene,plas,Golgi apparatus,Membrane
Zm00001eb261200,unknown,Core Gene,plas,Endoplasmic reticulum,Membrane
Zm00001eb165450,unknown,Core Gene,plas,Cell membrane,Membrane
Zm00001eb142990,WGD,Core Gene,plas,Endoplasmic reticulum,Membrane
Zm00001eb209690,Both,Core Gene,plas,Cell membrane,Membrane
Zm00001eb324190,Tandem,Core Gene,cyto,Nucleus,Membrane
Zm00001eb015780,unknown,Dispensable Gene,cyto,Cytoplasm,Soluble
Zm00001eb050610,unknown,Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb168600,unknown,Dispensable Gene,cyto,Mitochondrion,Soluble
Zm00001eb282800,unknown,Core Gene,plas,Endoplasmic reticulum,Membrane
Zm00001eb266600,unknown,Core Gene,plas,Cell membrane,Membrane
Zm00001eb250000,Tandem,Core Gene,extr,Nucleus,Soluble
Zm00001eb011810,unknown,Core Gene,mito,Endoplasmic reticulum,Membrane
Zm00001eb049240,unknown,Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb261280,unknown,Core Gene,chlo,Cytoplasm,Soluble
Zm00001eb221850,unknown,Core Gene,E.R.,Golgi apparatus,Membrane
Zm00001eb145080,WGD,Core Gene,nucl,Lysosome/Vacuole,Soluble
Zm00001eb035330,unknown,Dispensable Gene,cyto,Endoplasmic reticulum,Membrane
Zm00001eb398760,Tandem,Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb280070,WGD,Core Gene,nucl,Cytoplasm,Soluble
Zm00001eb142570,unknown,Core Gene,nucl,Cytoplasm,Soluble
Zm00001eb261590,unknown,Dispensable Gene,cyto,Cytoplasm,Soluble
Zm00001eb372770,unknown,Core Gene,chlo,Cytoplasm,Soluble
Zm00001eb295040,unknown,Core Gene,chlo,Plastid,Membrane
Zm00001eb293780,Tandem,Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb123520,unknown,Core Gene,chlo,Cell membrane,Membrane
Zm00001eb113330,unknown,Core Gene,chlo,Plastid,Membrane
Zm00001eb383860,unknown,Near-Core Gene,chlo,Extracellular,Soluble
Zm00001eb340440,WGD,Core Gene,chlo,Extracellular,Soluble
Zm00001eb329020,Tandem,Core Gene,chlo,Extracellular,Soluble
Zm00001eb264250,unknown,Core Gene,chlo,Plastid,Soluble
Zm00001eb287650,unknown,Core Gene,chlo,Extracellular,Soluble
Zm00001eb276350,unknown,Dispensable Gene,cyto,Cytoplasm,Soluble
Zm00001eb283850,unknown,Dispensable Gene,cyto,Cytoplasm,Soluble
Zm00001eb235710,WGD,Core Gene,chlo,Plastid,Membrane
Zm00001eb166600,Tandem,Core Gene,chlo,Extracellular,Soluble
Zm00001eb172390,WGD,Core Gene,chlo,Extracellular,Soluble
Zm00001eb120150,unknown,Core Gene,chlo,Nucleus,Soluble
Zm00001eb106580,WGD,Core Gene,chlo,Extracellular,Soluble
Zm00001eb101200,WGD,Core Gene,chlo,Cell membrane,Membrane
Zm00001eb081320,unknown,Core Gene,chlo,Cell membrane,Membrane
Zm00001eb407140,unknown,Near-Core Gene,chlo,Extracellular,Soluble
Zm00001eb064310,unknown,Core Gene,chlo,Mitochondrion,Soluble
Zm00001eb049480,Tandem,Core Gene,E.R.,Extracellular,Soluble
Zm00001eb404730,unknown,Core Gene,plas,Cell membrane,Membrane
Zm00001eb352670,Tandem,Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb321430,unknown,Core Gene,plas,Endoplasmic reticulum,Membrane
Zm00001eb298570,unknown,Core Gene,plas,Cell membrane,Membrane
Zm00001eb167780,unknown,Core Gene,plas,Cell membrane,Membrane
Zm00001eb131030,unknown,Core Gene,plas,Cytoplasm,Soluble
Zm00001eb112590,WGD,Core Gene,chlo,Endoplasmic reticulum,Soluble
Zm00001eb406780,unknown,Near-Core Gene,plas,Cell membrane,Membrane
Zm00001eb016570,unknown,Core Gene,chlo,Plastid,Membrane
Zm00001eb402920,unknown,Dispensable Gene,cyto,Cytoplasm,Soluble
Zm00001eb367010,unknown,Dispensable Gene,cyto,Endoplasmic reticulum,Membrane
Zm00001eb371270,WGD,Core Gene,extr,Cell membrane,Membrane
Zm00001eb303510,unknown,Core Gene,extr,Extracellular,Soluble
Zm00001eb298950,WGD,Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb276980,unknown,Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb213170,WGD,Core Gene,cyto,Nucleus,Soluble
Zm00001eb223680,unknown,Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb087630,unknown,Core Gene,cyto,Peroxisome,Soluble
Zm00001eb095320,unknown,Dispensable Gene,cyto,Mitochondrion,Soluble
Zm00001eb118030,WGD,Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb025130,unknown,Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb021010,unknown,Core Gene,extr,Cell membrane,Membrane
Zm00001eb313460,unknown,Core Gene,chlo,Cell membrane,Membrane
Zm00001eb218220,Tandem,Core Gene,plas,Cell membrane,Membrane
Zm00001eb261340,unknown,Core Gene,plas,Cell membrane,Membrane
Zm00001eb002690,unknown,Core Gene,chlo,Cell membrane,Membrane
Zm00001eb121860,unknown,Dispensable Gene,chlo,Cytoplasm,Soluble
Zm00001eb023990,unknown,Dispensable Gene,chlo,Mitochondrion,Membrane
Zm00001eb018880,unknown,Dispensable Gene,chlo,Endoplasmic reticulum,Membrane
Zm00001eb303150,unknown,Core Gene,extr,Extracellular,Soluble
Zm00001eb223070,WGD,Core Gene,chlo,Golgi apparatus,Membrane
Zm00001eb075710,WGD,Core Gene,E.R.,Extracellular,Soluble
Zm00001eb292260,unknown,Core Gene,chlo,Extracellular,Soluble
Zm00001eb082830,unknown,Near-Core Gene,chlo,Cell membrane,Membrane
Zm00001eb042300,unknown,Core Gene,chlo,Endoplasmic reticulum,Membrane
Zm00001eb308350,unknown,Core Gene,plas,Cytoplasm,Soluble
Zm00001eb242630,unknown,Core Gene,chlo,Golgi apparatus,Membrane
Zm00001eb436400,unknown,unknown,plas,Endoplasmic reticulum,Membrane
Zm00001eb440640,unknown,unknown,plas,Endoplasmic reticulum,Membrane
Zm00001eb438850,unknown,unknown,plas,Endoplasmic reticulum,Membrane
Zm00001eb187520,unknown,Dispensable Gene,plas,Endoplasmic reticulum,Membrane
Zm00001eb126090,unknown,Dispensable Gene,plas,Endoplasmic reticulum,Membrane
Zm00001eb429100,unknown,Core Gene,plas,Cell membrane,Membrane
Zm00001eb055880,unknown,Core Gene,plas,Cell membrane,Membrane
Zm00001eb075130,unknown,Core Gene,cyto,Endoplasmic reticulum,Membrane
Zm00001eb204410,unknown,Near-Core Gene,chlo,Plastid,Membrane
Zm00001eb381680,Tandem,Dispensable Gene,chlo,Cell membrane,Membrane
Zm00001eb352710,WGD,Core Gene,chlo,Extracellular,Soluble
Zm00001eb143890,unknown,Core Gene,chlo,Endoplasmic reticulum,Membrane
Zm00001eb037610,Both,Core Gene,cyto,Mitochondrion,Membrane
Zm00001eb426130,Tandem,Core Gene,E.R.,Endoplasmic reticulum,Membrane
Zm00001eb061140,unknown,Core Gene,cyto,Endoplasmic reticulum,Membrane
Zm00001eb198270,Tandem,Core Gene,chlo,Mitochondrion,Membrane
Zm00001eb190540,unknown,Core Gene,chlo,Lysosome/Vacuole,Soluble
Zm00001eb020240,unknown,Core Gene,chlo,Cell membrane,Membrane
Zm00001eb400300,unknown,Core Gene,chlo,Extracellular,Soluble
Zm00001eb402690,unknown,Dispensable Gene,chlo,Cell membrane,Membrane
Zm00001eb306570,unknown,Core Gene,chlo,Plastid,Membrane
Zm00001eb315380,Both,Core Gene,chlo,Nucleus,Soluble
Zm00001eb289680,WGD,Core Gene,chlo,Nucleus,Membrane
Zm00001eb195100,unknown,Core Gene,chlo,Lysosome/Vacuole,Soluble
Zm00001eb130620,unknown,Core Gene,chlo,Plastid,Membrane
Zm00001eb119160,unknown,Dispensable Gene,chlo,Endoplasmic reticulum,Membrane
Zm00001eb115500,Tandem,Core Gene,chlo,Peroxisome,Membrane
Zm00001eb115590,Tandem,Core Gene,chlo,Peroxisome,Membrane
Zm00001eb115630,Tandem,Core Gene,chlo,Mitochondrion,Membrane
Zm00001eb405950,unknown,Dispensable Gene,chlo,Cytoplasm,Soluble
Zm00001eb332120,unknown,Core Gene,chlo,Cell membrane,Membrane
Zm00001eb269020,unknown,Core Gene,chlo,Endoplasmic reticulum,Soluble
Zm00001eb241030,unknown,Dispensable Gene,chlo,Extracellular,Soluble
Zm00001eb106320,unknown,Core Gene,chlo,Cell membrane,Membrane
Zm00001eb007000,WGD,Core Gene,chlo,Nucleus,Soluble
Zm00001eb371860,unknown,Dispensable Gene,chlo,Cytoplasm,Soluble
Zm00001eb216960,unknown,Core Gene,chlo,Plastid,Membrane
Zm00001eb088540,unknown,Dispensable Gene,chlo,Cytoplasm,Soluble
Zm00001eb053580,unknown,Core Gene,chlo,Endoplasmic reticulum,Membrane
